,Rows,"Угол нашивки, град",Плотность нашивки,"Угол нашивки, град-Плотность нашивки"
"модуль упругости, ГПа-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.12061961247092179,-0.04200741128057106,-0.08131351187574754
"модуль упругости, ГПа-Количество отвердителя, м.%-Шаг нашивки",,-0.06234782667670413,-0.051143116315253145,-0.056745471495979305
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.09186351706036744,-0.07925822912342717,-0.0855608730918983
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.09674662760178232,-0.031014860202978056,-0.06388074390238074
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа",,-0.06006904175737704,-0.035710587362419055,-0.04788981455989849
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа",,-0.09848284468317425,-0.011411982509505814,-0.05494741359634059
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.07949297035544989,-0.04985374589660507,-0.06467335812602815
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.11389177128052785,-0.044282937076191464,-0.0790873541783601
"модуль упругости, ГПа-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.11508542052398463,0.0001974197759130325,-0.0574440003740363
"модуль упругости, ГПа-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.08470162159962547,-0.02568500917022498,-0.05519331538492578
"модуль упругости, ГПа-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.15360773701736896,0.004425214589893645,-0.07459126121373827
"модуль упругости, ГПа-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.043574979484153786,-0.04713487077228029,-0.04535492512821804
"модуль упругости, ГПа-Температура вспышки, С_2-Шаг нашивки",,-0.09077838138449734,-0.08322878536491829,-0.08700358337470837
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.06506066586637926,-0.052994472978299845,-0.05902756942233989
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.1233324516605967,-0.09695090366236947,-0.1101416776614833
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.02925118856267006,0.00459778931102206,-0.012326699625824833
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Шаг нашивки",,-0.04661335937658939,-0.07087384057886248,-0.058743599977726824
"модуль упругости, ГПа-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.11595352906468093,-0.06361930120533854,-0.08978641513501062
"модуль упругости, ГПа-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.13895840539312432,-0.05421685564646839,-0.09658763051979702
"модуль упругости, ГПа-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.08383351305892961,-0.024948243628527544,-0.05439087834372969
"модуль упругости, ГПа-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.1295177250130557,0.013392445746662762,-0.05806263963319691
"модуль упругости, ГПа-Прочность при растяжении, МПа-Шаг нашивки",,-0.08763148792447462,-0.05056229149385305,-0.06909688970916494
"модуль упругости, ГПа-Потребление смолы, г/м2-Шаг нашивки",,-0.09457635625004235,-0.09927566821675726,-0.09692601223340036
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.1244175873364668,-0.05254637974893517,-0.08848198354270131
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.041079167429652674,-0.09033660444227021,-0.06570788593596211
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа",,-0.02208929310192831,-0.07325425985844447,-0.04767177648018739
