,Rows,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа"
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Плотность нашивки",,-0.01406889165278602,-0.02795066743001917,-0.02100977954140293
"Соотношение матрица-наполнитель-Потребление смолы, г/м2-Шаг нашивки",,-0.005461671995059758,-0.029913050574517985,-0.01768736128478865
"Соотношение матрица-наполнитель-Потребление смолы, г/м2-Угол нашивки, град",,-0.005871170866613262,-0.02559156419682096,-0.015731367531717333
"Соотношение матрица-наполнитель-Потребление смолы, г/м2-Плотность нашивки",,-0.006886390047987412,-0.02553377956598002,-0.016210084806983605
"Соотношение матрица-наполнитель-Шаг нашивки-Угол нашивки, град",,-0.009796854574737113,-0.03101985659168882,-0.020408355583212967
Соотношение матрица-наполнитель-Шаг нашивки-Плотность нашивки,,-0.010786755568626738,-0.03114772745715655,-0.02096724151289142
"Соотношение матрица-наполнитель-Угол нашивки, град-Плотность нашивки",,-0.011248513798205018,-0.026860076873736816,-0.019054295335971028
"Плотность, кг/м3-модуль упругости, ГПа-Количество отвердителя, м.%",,-0.020516747470644026,-0.01806250389773334,-0.019289625684189238
"Плотность, кг/м3-модуль упругости, ГПа-Содержание эпоксидных групп,%_2",,-0.0005466094835195889,-0.03235629823158348,-0.016451453857551424
"Плотность, кг/м3-модуль упругости, ГПа-Температура вспышки, С_2",,-0.014592272738095602,-0.03486022889454454,-0.02472625081631996
"Плотность, кг/м3-модуль упругости, ГПа-Поверхностная плотность, г/м2",,-0.00511924021636645,-0.033781722028944694,-0.019450481122656016
"Плотность, кг/м3-модуль упругости, ГПа-Потребление смолы, г/м2",,0.002196157600822035,-0.031310060449288635,-0.014556951424233022
"Плотность, кг/м3-модуль упругости, ГПа-Шаг нашивки",,-0.0015287703123789687,-0.03564755618182924,-0.018588163247104328
"Плотность, кг/м3-модуль упругости, ГПа-Угол нашивки, град",,-0.0017990097437317054,-0.03336401364729258,-0.01758151169551203
"Плотность, кг/м3-модуль упругости, ГПа-Плотность нашивки",,-0.00273515564372806,-0.032416176675490904,-0.017575666159609926
"Плотность, кг/м3-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.01720513459133044,-0.003723350262481828,-0.010464242426905579
"Плотность, кг/м3-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.039434247299201086,-0.006176996880250085,-0.02280562208972603
"Плотность, кг/м3-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.02407827616287639,-0.00468973697554298,-0.01438400656921035
"Плотность, кг/м3-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.01470683728372224,-0.0020758678946766196,-0.008391352589199208
"Плотность, кг/м3-Количество отвердителя, м.%-Шаг нашивки",,-0.018049814450455726,-0.008727641233944539,-0.013388727842200021
"Плотность, кг/м3-Количество отвердителя, м.%-Угол нашивки, град",,-0.018603347695249184,-0.003979384886405146,-0.011291366290826721
"Плотность, кг/м3-Количество отвердителя, м.%-Плотность нашивки",,-0.01970465343695893,-0.003200762815894098,-0.011452708126426958
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.011731731640015175,-0.019411570805217382,-0.015571651222616278
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.0023565143358308394,-0.019218799791488772,-0.010787657063660028
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,0.00522904530443391,-0.016430905805595142,-0.005600930250580782
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Шаг нашивки",,0.0016800803242942308,-0.023012816896893495,-0.010666368286299688
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Угол нашивки, град",,0.001320192028300915,-0.018489490615036797,-0.00858464929336844
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Плотность нашивки",,0.0006117488515875458,-0.017772811507506425,-0.008580531327959773
"Плотность, кг/м3-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.015631126334854084,-0.020260518153631724,-0.017945822244243126
"Плотность, кг/м3-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.009946346342459833,-0.017569635989020504,-0.013757991165740169
"Плотность, кг/м3-Температура вспышки, С_2-Шаг нашивки",,-0.012874005579856407,-0.024626145829776735,-0.01875007570481657
"Плотность, кг/м3-Температура вспышки, С_2-Угол нашивки, град",,-0.013401189502751487,-0.020048029683806368,-0.016724609593278705
"Плотность, кг/м3-Температура вспышки, С_2-Плотность нашивки",,-0.014172112155248273,-0.019234477068423406,-0.01670329461183595
"Плотность, кг/м3-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,0.00038603244946788795,-0.017525153761460688,-0.008569560655995678
"Плотность, кг/м3-Поверхностная плотность, г/м2-Шаг нашивки",,-0.003066126420187887,-0.023659684249029977,-0.013362905334608821
"Плотность, кг/м3-Поверхностная плотность, г/м2-Угол нашивки, град",,-0.003660874447439788,-0.019709589714156817,-0.011685232080798857
"Плотность, кг/м3-Поверхностная плотность, г/м2-Плотность нашивки",,-0.004190967423208125,-0.01866784760025042,-0.011429407511729273
"Плотность, кг/м3-Потребление смолы, г/м2-Шаг нашивки",,0.004082704674016835,-0.021051624198677787,-0.008484459762330976
"Плотность, кг/м3-Потребление смолы, г/м2-Угол нашивки, град",,0.0038743079354269794,-0.016973914042216265,-0.006549803053394421
"Плотность, кг/м3-Потребление смолы, г/м2-Плотность нашивки",,0.0029614767301004985,-0.01620131096426425,-0.00661991711708193
"Плотность, кг/м3-Шаг нашивки-Угол нашивки, град",,9.189552164556858e-06,-0.023001422199414145,-0.01149611632362496
"Плотность, кг/м3-Шаг нашивки-Плотность нашивки",,-0.0008453397854659706,-0.022353910383688058,-0.011599625084577014
"Плотность, кг/м3-Угол нашивки, град-Плотность нашивки",,-0.0011310876353967103,-0.018197493338009796,-0.009664290486702476
"модуль упругости, ГПа-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.01758243413782945,-0.02514372139795129,-0.02136307776789048
"модуль упругости, ГПа-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.03831068830506168,-0.02948457383133829,-0.03389763106819976
"модуль упругости, ГПа-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.02425125101263026,-0.026553568096959967,-0.02540240955479456
"модуль упругости, ГПа-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.014788958221964243,-0.02375369993651577,-0.01927132907924034
"модуль упругости, ГПа-Количество отвердителя, м.%-Шаг нашивки",,-0.018214308830622805,-0.028063656207550025,-0.023138982519086193
"модуль упругости, ГПа-Количество отвердителя, м.%-Угол нашивки, град",,-0.01852424114969886,-0.02503934694434129,-0.021781794047019964
"модуль упругости, ГПа-Количество отвердителя, м.%-Плотность нашивки",,-0.01993509030454521,-0.02528495648799467,-0.022610023396270384
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.011115753257154637,-0.04193211620972881,-0.026523934733441612
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.002727673300044753,-0.040177196767074985,-0.021452435033559758
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,0.004964698132439493,-0.037284462106820904,-0.016159881987191205
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Шаг нашивки",,0.0015170461427824744,-0.04144343620244251,-0.019963195029829905
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Угол нашивки, град",,0.0011657013058242738,-0.038818019510334034,-0.01882615910225488
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Плотность нашивки",,0.00013859659300519134,-0.03892340874110767,-0.019392406074051405
"модуль упругости, ГПа-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.014854270139686765,-0.04312952216903443,-0.028991896154360597
"модуль упругости, ГПа-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.008982178368665661,-0.040506944995277516,-0.024744561681971367
"модуль упругости, ГПа-Температура вспышки, С_2-Шаг нашивки",,-0.011891894501383282,-0.04509951186569183,-0.028495703183538
"модуль упругости, ГПа-Температура вспышки, С_2-Угол нашивки, град",,-0.012421302919910504,-0.042313951206271794,-0.027367627063090927
"модуль упругости, ГПа-Температура вспышки, С_2-Плотность нашивки",,-0.013527854442756615,-0.0423388479746738,-0.027933351208715318
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,0.0003633044794060236,-0.038779719204449004,-0.01920820736252199
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Шаг нашивки",,-0.0030249203469332464,-0.04259301444719976,-0.022808967397066393
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Угол нашивки, град",,-0.0036166561257457985,-0.040397486597250065,-0.022007071361498154
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Плотность нашивки",,-0.0044547125377771835,-0.04025773015352696,-0.02235622134565196
"модуль упругости, ГПа-Потребление смолы, г/м2-Шаг нашивки",,0.004231667814215023,-0.03977960641219447,-0.017773969298989556
"модуль упругости, ГПа-Потребление смолы, г/м2-Угол нашивки, град",,0.004030675895544844,-0.03756579779281566,-0.016767560948635407
"модуль упругости, ГПа-Потребление смолы, г/м2-Плотность нашивки",,0.002816517460304646,-0.03760972920274708,-0.01739660587122166
"модуль упругости, ГПа-Шаг нашивки-Угол нашивки, град",,0.00027005304875649117,-0.04114461473144493,-0.020437280841344385
"модуль упругости, ГПа-Шаг нашивки-Плотность нашивки",,-0.0009095123515465708,-0.04140333843960775,-0.021156425395577383
"модуль упругости, ГПа-Угол нашивки, град-Плотность нашивки",,-0.0011519786221698691,-0.03915643426823401,-0.02015420644520194
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.03521209229849198,-0.013829833545262904,-0.024520962921876777
